time,views
1722976257.7627623,15683830.0
1722976278.0318582,15684127.0
1722976287.6852455,15684307.0
1722976339.8162656,15685081.0
1722976349.6066742,15685297.0
1722976359.6788564,15685387.0
1722976369.6895351,15685567.0
1722976379.64976,15685792.0
1722976390.0866206,15685909.0
1722976399.6771474,15686053.0
1722976409.7232022,15686278.0
1722976419.6959255,15686395.0
1722976430.1786907,15686548.0
1722976439.6324172,15686710.0
1722976449.73086,15686845.0
1722976459.7043717,15687034.0
1722976469.643923,15687205.0
1722976479.6674733,15687340.0
1722976489.6733732,15687520.0
1722976499.636768,15687718.0
1722976509.6075144,15687853.0
1722976519.6635408,15688024.0
1722976529.6197345,15688240.0
1722976539.6133635,15688330.0
1722976549.6007946,15688510.0
1722976559.5977173,15688735.0
1722976569.646358,15688825.0
1722976579.6892428,15688996.0
1722976589.6946652,15689230.0
1722976599.7189522,15689338.0
1722976609.6941304,15689491.0
1722976619.6429234,15689716.0
1722976629.6395435,15689833.0
1722976640.1205177,15689977.0
1722976649.6051025,15690085.0
1722976659.649626,15690274.0
1722976669.6277552,15690481.0
1722976679.669305,15690661.0
1722976689.6014986,15690796.0
1722976699.6889555,15690967.0
1722976709.6526597,15691183.0
1722976719.647316,15691273.0
1722976729.807341,15691453.0
1722976739.6308885,15691678.0
1722976749.6134984,15691768.0
1722976759.5960581,15691966.0
1722976769.620956,15692191.0
1722976779.6166108,15692272.0
1722976789.6802137,15692452.0
1722976799.6607068,15692677.0
1722976809.6218836,15692794.0
1722976819.651996,15692929.0
1722976829.6437743,15693046.0
1722976839.6209202,15693226.0
1722976849.6842082,15693415.0
1722976859.6555462,15693604.0
1722976869.615518,15693739.0
1722976879.6148593,15693910.0
1722976889.621523,15694099.0
1722976899.6122842,15694216.0
1722976909.6407716,15694396.0
1722976919.6859336,15694621.0
1722976929.5902967,15694711.0
1722976939.626545,15694882.0
1722976949.6268513,15695107.0
1722976959.5999038,15695125.0
1722976969.6417916,15695359.0
1722976979.6763504,15695476.0
1722976989.6446805,15695683.0
1722976999.6307929,15695863.0
1722977009.6457562,15696052.0
1722977019.622259,15696169.0
1722977029.6202323,15696367.0
1722977040.1497684,15696556.0
1722977050.0159209,15696682.0
1722977059.6282406,15696853.0
1722977069.6452427,15697078.0
1722977079.5964983,15697159.0
1722977089.6532657,15697339.0
1722977099.637508,15697582.0
1722977109.6687815,15697672.0
1722977119.628781,15697834.0
1722977129.6297162,15697951.0
1722977139.6381488,15698086.0
1722977149.6454983,15698320.0
1722977159.6303856,15698500.0
1722977169.6714644,15698626.0
1722977179.6854944,15698806.0
1722977189.6366763,15698986.0
1722977199.6197295,15699112.0
1722977209.6362543,15699292.0
1722977219.614483,15699517.0
1722977229.632571,15699607.0
1722977239.6713815,15699778.0
1722977249.6434226,15700003.0
1722977259.6930954,15700084.0
1722977269.6628325,15700264.0
1722977279.6544046,15700489.0
1722977289.67261,15700579.0
1722977299.6652045,15700741.0
1722977309.64125,15700858.0
1722977319.641542,15700993.0
1722977329.6356628,15701227.0
1722977339.6668236,15701407.0
1722977349.6360433,15701533.0
1722977359.633575,15701713.0
1722977369.6392972,15701893.0
1722977379.6320531,15702019.0
1722977389.6468308,15702199.0
1722977399.6214004,15702379.0
1722977409.6181188,15702514.0
1722977419.6644344,15702685.0
1722977429.7117476,15702901.0
1722977439.6764612,15703000.0
1722977449.6450615,15703189.0
1722977459.653066,15703414.0
1722977469.6736782,15703504.0
1722977479.6689224,15703666.0
1722977489.6537209,15703783.0
1722977499.6331935,15703936.0
1722977509.656578,15704170.0
1722977519.6410458,15704341.0
1722977529.6505635,15704485.0
1722977539.6889193,15704656.0
1722977549.6454008,15704827.0
1722977559.6293259,15704962.0
1722977569.6290808,15705142.0
